storeid,pre_name,city_name,brand,num
ysn_046733,北海道,札幌市,ysn,046733
ysn_046502,北海道,札幌市,ysn,046502
ysn_046507,北海道,札幌市,ysn,046507
ysn_046945,北海道,札幌市,ysn,046945
ysn_046947,北海道,札幌市,ysn,046947
ysn_046956,北海道,札幌市,ysn,046956
ysn_046943,北海道,札幌市,ysn,046943
ysn_046729,北海道,札幌市,ysn,046729
ysn_046721,北海道,札幌市,ysn,046721
ysn_046942,北海道,札幌市,ysn,046942
ysn_046949,北海道,札幌市,ysn,046949
ysn_046944,北海道,札幌市,ysn,046944
ysn_046503,北海道,札幌市,ysn,046503
ysn_046712,北海道,札幌市,ysn,046712
ysn_046948,北海道,函館市,ysn,046948
ysn_046725,北海道,旭川市,ysn,046725
ysn_046953,北海道,旭川市,ysn,046953
ysn_046727,北海道,帯広市,ysn,046727
ysn_046946,北海道,岩見沢市,ysn,046946
ysn_046743,北海道,苫小牧市,ysn,046743
ysn_046724,北海道,苫小牧市,ysn,046724
ysn_046730,北海道,千歳市,ysn,046730
ysn_046504,北海道,千歳市,ysn,046504
ysn_046736,北海道,釧路郡,ysn,046736
ysn_046803,青森県,青森市,ysn,046803
ysn_046805,青森県,青森市,ysn,046805
ysn_046965,青森県,弘前市,ysn,046965
ysn_046800,青森県,弘前市,ysn,046800
ysn_046931,青森県,八戸市,ysn,046931
ysn_046630,青森県,八戸市,ysn,046630
ysn_046802,青森県,五所川原市,ysn,046802
hnmr_046745,青森県,十和田市,hnmr,046745
ysn_046806,青森県,三沢市,ysn,046806
hnmr_046747,青森県,むつ市,hnmr,046747
ysn_046821,岩手県,盛岡市,ysn,046821
ysn_046819,岩手県,盛岡市,ysn,046819
ysn_046820,岩手県,盛岡市,ysn,046820
ysn_046964,岩手県,花巻市,ysn,046964
ysn_046917,岩手県,北上市,ysn,046917
ysn_046818,岩手県,一関市,ysn,046818
ysn_046929,岩手県,釜石市,ysn,046929
ysn_046817,岩手県,奥州市,ysn,046817
ysn_046627,宮城県,仙台市,ysn,046627
ysn_046921,宮城県,仙台市,ysn,046921
ysn_046828,宮城県,仙台市,ysn,046828
ysn_046829,宮城県,仙台市,ysn,046829
ysn_046825,宮城県,仙台市,ysn,046825
ysn_046831,宮城県,仙台市,ysn,046831
ysn_046613,宮城県,仙台市,ysn,046613
ysn_046611,宮城県,仙台市,ysn,046611
ysn_046838,宮城県,仙台市,ysn,046838
ysn_046960,宮城県,仙台市,ysn,046960
ysn_046625,宮城県,仙台市,ysn,046625
ysn_046837,宮城県,仙台市,ysn,046837
ysn_046835,宮城県,仙台市,ysn,046835
ysn_046832,宮城県,仙台市,ysn,046832
ysn_046841,宮城県,仙台市,ysn,046841
ysn_046833,宮城県,仙台市,ysn,046833
ysn_046834,宮城県,仙台市,ysn,046834
ysn_046961,宮城県,仙台市,ysn,046961
ysn_046621,宮城県,仙台市,ysn,046621
ysn_046827,宮城県,仙台市,ysn,046827
ysn_046826,宮城県,仙台市,ysn,046826
ysn_046631,宮城県,石巻市,ysn,046631
ysn_046926,宮城県,石巻市,ysn,046926
ysn_046824,宮城県,塩竈市,ysn,046824
ysn_046914,宮城県,気仙沼市,ysn,046914
ysn_046814,宮城県,気仙沼市,ysn,046814
ysn_046840,宮城県,白石市,ysn,046840
ysn_046632,宮城県,名取市,ysn,046632
ysn_046842,宮城県,名取市,ysn,046842
ysn_046951,宮城県,多賀城市,ysn,046951
ysn_046626,宮城県,岩沼市,ysn,046626
ysn_046815,宮城県,登米市,ysn,046815
ysn_046959,宮城県,大崎市,ysn,046959
ysn_046822,宮城県,大崎市,ysn,046822
ysn_046823,宮城県,富谷市,ysn,046823
ysn_046839,宮城県,柴田郡,ysn,046839
ysn_046836,宮城県,宮城郡,ysn,046836
ysn_046612,宮城県,黒川郡,ysn,046612
ysn_046938,秋田県,秋田市,ysn,046938
