shopid,brand,name,lat,lng,zipcode,address,business_hour1,business_hour2,business_hour3
2067,なか卯,烏丸今出川店,35.0321901958516,135.759558774671,602-0021,京都府京都市上京区烏丸通上立売上ル東側,7:00～翌2:00　ラストオーダー 1:30,金土のみ 24時間営業,
2068,なか卯,一乗寺店,35.0434453934193,135.79208222203,606-8151,京都府京都市左京区一乗寺花ノ木町12,24時間営業,,
2069,なか卯,千林大宮店,34.7250249335619,135.549312601609,535-0002,大阪府大阪市旭区大宮3-20-27　高松ビル,24時間営業,,
2071,なか卯,桃谷駅前店,34.6578339564865,135.527209197869,543-0042,大阪府大阪市天王寺区烏ヶ辻1-1-6,5:00～翌2:00　ラストオーダー 1:45,,
2072,なか卯,天童店,38.360411732313,140.388688575864,994-0021,山形県天童市大字山元字鎌田2592,24時間営業,,
2073,なか卯,富山豊田店,36.7188419250714,137.233492589867,931-8313,富山県富山市豊田町1-12-25,24時間営業,,
2076,なか卯,四ツ橋店,34.6762653430139,135.496813651264,550-0013,大阪府大阪市西区新町1-6-23　四ツ橋大川ビル3号館1Ｆ,24時間営業,,
2077,なか卯,上新庄店,34.7485877599506,135.53735473193,533-0005,大阪府大阪市東淀川区瑞光1-7-22　サンスリーハイツ瑞光1Ｆ,24時間営業,,
2078,なか卯,三国ヶ丘駅前店,34.5647277739601,135.493679880797,590-0024,大阪府堺市堺区向陵中町4-7-30　三国ヶ丘NDビル1F,24時間営業,,
2080,なか卯,大島店,35.690177164067,139.837792560674,136-0072,東京都江東区大島6-30-11,5:00～翌2:00　ラストオーダー 1:45,,
2081,なか卯,天王寺駅北口店,34.6483758683528,135.515135913837,543-0055,大阪府大阪市天王寺区悲田院町4-10,24時間営業,,
2082,なか卯,京町堀店,34.6866335994216,135.492288549645,550-0003,大阪府大阪市西区京町堀2-2-3　サイトウビル1Ｆ,5:00～翌2:00　ラストオーダー 1:45,,
