storeid,brand,name,lat,lon,postalCode,address,business_hour
0000000003,松屋,江古田店,35.735333,139.674831,1760006,東京都練馬区栄町34-1,火から日：4時から翌3時（ラストオーダー2:45）、月・祝：4時から翌2時（ラストオーダー1:45）
0000000004,松屋,西荻窪店,35.700305,139.60298,1670053,東京都杉並区西荻南3-11-8,24時間営業
0000000014,松屋,阿佐ヶ谷店,35.701937,139.639139,1660001,東京都杉並区阿佐谷北2-1-10,24時間営業
0000000015,松屋,荻窪北口店,35.70159,139.624518,1670043,東京都杉並区上荻1-6-2,24時間営業
0000000016,松屋,高円寺店,35.702702,139.652699,1660002,東京都杉並区高円寺北3-22-16 1F,24時間営業
0000000021,松屋,池袋西口店,35.728273,139.712963,1710021,東京都豊島区西池袋1-20-6 広瀬ビル1.2F,24時間営業
0000000024,松屋,大塚店,35.729738,139.730934,1700004,東京都豊島区北大塚2-11-1,24時間営業
0000000025,松屋,蒲田店,35.55985,139.719167,1440051,東京都大田区西蒲田7-2-3 第2醍醐ビル,24時間営業
0000000030,松屋,国立店,35.695289,139.44925,1860004,東京都国立市中1-8-2,24時間営業
0000000032,松屋,吉祥寺南口店,35.699393,139.582159,1800003,東京都武蔵野市吉祥寺南町1-5-5 1F,24時間営業
0000000035,松屋,下北沢店,35.657623,139.670707,1550031,東京都世田谷区北沢2-19-13 松本ビル1F,24時間営業
0000000036,松屋,鶴見店,35.505663,139.678904,2300062,神奈川県横浜市鶴見区豊岡町2-2 フーガ2,24時間営業
0000000038,松屋,八王子店,35.65383,139.3411,1920083,東京都八王子市旭町7-1 豊栄ビル,24時間営業
0000000047,松屋,大森店,35.585345,139.730947,1430023,東京都大田区山王2-2-11,24時間営業
0000000050,松屋,西船橋店,35.70527,139.962728,2730031,千葉県船橋市西船4-25-3,24時間営業
0000000051,松屋,経堂店,35.647126,139.640382,1560052,東京都世田谷区経堂1-12-11,24時間営業
0000000054,松屋,高田馬場店,35.710911,139.707099,1690075,東京都新宿区高田馬場3-1-2,24時間営業
0000000055,松屋,豊田店,35.657162,139.383878,1910062,東京都日野市多摩平1-2-18 第1ビル1F,24時間営業
0000000056,松屋,金町店,35.766668,139.874344,1250041,東京都葛飾区東金町1-45-2,24時間営業
0000000057,松屋,淵野辺店,35.56171,139.394834,2520233,神奈川県相模原市中央区鹿沼台2-18-6,24時間営業
0000000060,松屋,武蔵村山店,35.745136,139.410223,2080011,東京都武蔵村山市学園3-37-2,24時間営業
0000000061,松屋,明大前店,35.665356,139.654044,1560043,東京都世田谷区松原1-36-7 明大前ビル2F,24時間営業
0000000062,松屋,渋谷センター街店,35.656936,139.702127,1500042,東京都渋谷区宇田川町26-9 メトロビル1F,24時間営業
0000000067,松屋,高田馬場1丁目店 ※3月14日22時より一時閉店、3月15日10時新規改装オープン予定,35.709696,139.708609,1690075,東京都新宿区高田馬場1-26-12 高田馬場ビル,4:30から翌3:30
0000000070,松屋,草加店,35.838497,139.791282,3400047,埼玉県草加市北谷町1-2-14,24時間営業
0000000071,松屋,立川店,35.695838,139.418002,1900012,東京都立川市曙町2-12-15 立川金水ビル1F,24時間営業
0000000072,松屋,新宿西口店,35.686338,139.700124,1600023,東京都新宿区西新宿1-13-3 西新ビル1F,24時間営業
0000000073,松屋,駒沢店,35.629393,139.663775,1540012,東京都世田谷区駒沢1-5-15,24時間営業
0000000078,松屋,大山店,35.745758,139.706256,1730014,東京都板橋区大山東町58-2,24時間営業
0000000079,松屋,大宮東口店,35.904648,139.628015,3300802,埼玉県さいたま市大宮区宮町1-5,24時間営業
0000000082,松屋,多摩ニュータウン店,35.621495,139.396402,1920362,東京都八王子市松木33-3,24時間営業
0000000083,松屋,鶴瀬店,35.842522,139.541236,3540021,埼玉県富士見市鶴馬2605-1,24時間営業
0000000084,松屋,ひばりが丘店,35.748733,139.54833,2020002,東京都西東京市ひばりが丘北3-3-14,24時間営業
0000000085,松屋,池袋サンシャイン通り店,35.727032,139.719458,1700013,東京都豊島区東池袋1-29-4 成田ビル1.2F,24時間営業
