storeid,brand,name,lat,lon,postalCode,address,business_hour1,business_hour2,business_hour3
1,すき家,平塚店,35.3279988887733,139.340819955374,254-0052,神奈川県平塚市平塚1-9-26,24時間営業,,
2,すき家,長原駅東店（旧上池台店）,35.6013923067623,139.69985810426,145-0064,東京都大田区上池台1-44-1　ライオンズマンション102,24時間営業,※3月1日(金)～3月12日(火)まで、改装工事のため閉店いたします。,
5,すき家,守谷店,35.941055844159,139.994454109039,302-0128,茨城県守谷市けやき台5-2-1,24時間営業,,
6,すき家,松戸店,35.7728639765848,139.907196878139,271-0081,千葉県松戸市二十世紀が丘美野里町15-1,24時間営業,,
8,すき家,汐入店,35.5017313411203,139.686315484692,230-0042,神奈川県横浜市鶴見区仲通1-54　アネックスつるみ102,24時間営業,,
9,すき家,16号岩槻店（旧岩槻店）,35.9459337180985,139.711774582929,339-0053,埼玉県さいたま市岩槻区城町2-10-59,24時間営業,,
10,すき家,石和店,35.6433937872391,138.626468369827,406-0032,山梨県笛吹市石和町四日市場字白山町1713-1,24時間営業,,
11,すき家,大宮清河寺店（旧大宮店）,35.9321960025626,139.58350725688,331-0048,埼玉県さいたま市西区清河寺字須場1232-5,24時間営業,,
13,すき家,焼津店,34.8790452941704,138.31010345052,425-0091,静岡県焼津市八楠3-19-1,8:00～24:00,,
14,すき家,前橋大渡町店（旧前橋中央店）,36.3950019871333,139.054769579576,371-0854,群馬県前橋市大渡町1-1-1,24時間営業,,
15,すき家,高崎緑町店,36.3515946758629,139.006506142131,370-0073,群馬県高崎市緑町1-29-9,24時間営業,,
16,すき家,太田南矢島店（旧太田店）,36.2677117914423,139.377298377373,373-0861,群馬県太田市南矢島町928-1,9:00～24:00,,
19,すき家,浜松住吉店,34.7341980827645,137.725906415074,430-0906,静岡県浜松市中区住吉3-11-20,24時間営業,,
20,すき家,熊谷西店,36.1610046304423,139.363493604032,360-0817,埼玉県熊谷市新島261-2,24時間営業,,
23,すき家,栃木店,36.3946018320673,139.727258470632,328-0075,栃木県栃木市箱森町41-5,24時間営業,,
24,すき家,守山店,35.2083950997731,136.944363097418,463-0090,愛知県名古屋市守山区瀬古東2-1104,24時間営業,,
26,すき家,辻堂店,35.3280008870915,139.455235453179,251-0045,神奈川県藤沢市辻堂東海岸1-2-1,24時間営業,,
27,すき家,高崎IC店,36.3416298964244,139.053530473427,370-0015,群馬県高崎市島野町大岩996-1,24時間営業,,
29,すき家,太田中央店,36.2866689438419,139.36216292811,373-0821,群馬県太田市下浜田町1369-1,24時間営業,,
32,すき家,木更津店,35.3772725012017,139.944772528772,292-0044,千葉県木更津市太田4-13,24時間営業,,
34,すき家,小平店,35.7302786102208,139.434619752824,187-0033,東京都小平市中島町22-19,24時間営業,,
35,すき家,春日井高蔵寺店,35.265345879837,137.035606508449,487-0016,愛知県春日井市高蔵寺町北1-197,24時間営業,,
36,すき家,大和中央店,35.4761046047446,139.461789200313,242-0018,神奈川県大和市深見西2-4-3,24時間営業,,
37,すき家,浦安店,35.6551374483265,139.89394506628,279-0041,千葉県浦安市堀江6-4-29　メゾン浦安1F,24時間営業,,
38,すき家,足利店,36.3050188758527,139.470635852355,326-0331,栃木県足利市福富町1107-1,24時間営業,,
41,すき家,横浜橋店,35.436615961916,139.631636357429,232-0032,神奈川県横浜市南区万世町1-19,24時間営業,,
42,すき家,南砂店,35.6760813755633,139.83355745035,136-0076,東京都江東区南砂5-14-6　江原ビル,24時間営業,,
43,すき家,朝比奈店,35.3278759362844,139.616313748193,236-0031,神奈川県横浜市金沢区六浦4-11-34　サングレイスビル101,24時間営業,,
44,すき家,前橋野中町店（旧前橋東店）,36.3806238855649,139.107215886022,379-2166,群馬県前橋市野中町50-1,24時間営業,,
46,すき家,流山店,35.8416425549745,139.897113992928,270-0163,千葉県流山市南流山7-1-10,24時間営業,,
48,すき家,立場店,35.4142619103518,139.50134154096,245-0015,神奈川県横浜市泉区中田西1-1-41,24時間営業,,
49,すき家,指扇店,35.9142890137946,139.566733085629,331-0062,埼玉県さいたま市西区大字土屋字上谷510-2,24時間営業,,
50,すき家,熊谷BP店,36.1543712465972,139.415398765468,360-0012,埼玉県熊谷市大字上之字宮の前4004-1,月 10:00～24:00　火～金・0:00～24:00,土日 10:00～24:00,
51,すき家,蓮根駅西店,35.7853813846659,139.676432966486,174-0046,東京都板橋区蓮根2-29-6　蓮根ビル1F,24時間営業,,
52,すき家,安中店,36.3333947492297,138.915162343976,379-0115,群馬県安中市中宿1丁目字石合891-1,24時間営業,,
